# k [ h Mpc ^{-1}] ,      P_k [ h^{-3} Mpc^3]
   0.21430        2406.1    
   0.22157        2229.7    
   0.22910        2075.9    
   0.23688        1958.5    
   0.24493        1865.4    
   0.25325        1779.6    
   0.26185        1688.7    
   0.27074        1583.9    
   0.27994        1473.6    
   0.28944        1368.4    
   0.29928        1281.1    
   0.30944        1209.0    
   0.31995        1143.2    
   0.33082        1075.5    
   0.34205        1004.1    
   0.35367        935.07    
   0.36568        873.45    
   0.37810        820.08    
   0.39095        770.24    
   0.40422        720.28    
   0.41795        671.07    
   0.43215        626.66    
   0.44683        586.12    
   0.46200        548.35    
   0.47770        511.59    
   0.49392        476.63    
   0.51070        444.94    
   0.52804        414.03    
   0.54598        385.10    
   0.56452        358.08    
   0.58370        332.84    
   0.60352        309.30    
   0.62402        287.33    
   0.64521        266.84    
   0.66713        247.74    
